StoreID;StoreCode;StoreName;DITOStoreID;Address;Province;PriceRegion;StoreTypeID;StateID;Country;ReportingStatus;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
1;5LAU;FAIRYVILLE HOLDINGS CONV CENTRE;1;2 MOUNT MORIAH DRIVE.KWAMASHU;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
2;7JDW;RIDDERPARK MOTORS;2;Kruger St, Protea Park, Rustenburg, 0299.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
3;7NKG;COSMOPOLITAN CONVENIENCE CENTRE;3;474 MALIBONGWE DRIVE.KYA SANDS;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
4;7NCE;ROWHILL MOTORS;4;Geduld Rd, Paul Krugersoord, Springs, 1559.;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
5;7NTF;CORNWALLVIEW SERVICE STATION;5;Concert Blvd, Retreat, Cape Town, 7800.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
6;2HMJ;HERMANUS CONVENIENCE CENTRE;6;CNR MAIN ROAD & R43.SANDBAAI;CAPE WEST;ENGEN - QUICKSHOP WITH WW;ENGEN - QUICKSHOP WITH WW - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
7;7FKU;MIDWAY SERVICE CENTRE;7;13 LAINGSNEK STREET.VOLKSRUST;FREESTATE;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - FREESTATE;Freestate;SOUTH AFRICA;TRUE;;;;;;;;;;;
8;2HMH;SETTLERS WAY;8;49 SETTLERS WAY.GREENFIELDS;CAPE EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE EAST;Cape East;SOUTH AFRICA;TRUE;;;;;;;;;;;
9;2HMA;TIERBERG CONVENIENCE CENTRE;9;CNR SELBOURNE & TIERBERG ROADS.;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
10;7NDK;WOODMEAD SERVICE STATION;10;CNR WOODMEAD DR & WATERVAL CRESCENT.WOODMEAD;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
11;9AAN;BIRCHLEIGH CONVENIENCE CENTRE;11;Cnr Tinus de Jongh & Elgin St, Birchleigh, Kempton Park, 1618.;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
12;7PUW;PERFORMANCE FUELS CONV. CENTRE;12;1003 PRETORIUS STREET EAST.HATFIELD;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
13;8BKN;PALM VALLEY ENGEN;13;CNR CASCADES & VICTORIA ROADS.LITTLE FALLS;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
14;7HGF;SIYABUSWA MOTOR CLINIC;14;CNR STEVE MAHLANGU & NELSON MANDELA STR.MDUTJANA (SIYABUSWA);INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
15;8BMM;MARATHON CONVENIENCE CENTRE;15;425 King Dinuzulu Rd (South ), Bulwer, Berea, 4001.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
16;7MNE;MENLYN QUICK SHOP SOUTH;16;CNR JANUARY MASILELA & ATTERBURY ROAD.MENLYN EXT 9;INLAND NORTH;ENGEN - QUICKSHOP WITH WW;ENGEN - QUICKSHOP WITH WW - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
17;5CLV;NEWCASTLE CONVENIENCE CENTRE;17;Allen St, Hutten Heights, Newcastle, 2956.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
18;7NUV;MINTYS TYRES & MAGS AMALGAM;18;CNR MAIN REEF & PRODUCTION ROADS.AMALGAM;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
19;6BCV;MABOPANE MOTORS;19;2 M35, Onderstepoort, Pretoria, 0002.;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
20;2EQU;SONNENDAL SERVICE STATION;20;109 UYS KRIGE AVENUE.SONNENDAL;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
21;5LBB;SARNIA CONVENIENCE CENTRE;21;SARNIA SHOPPING CENTRE.176 UNDERWOOD ROAD;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
22;7HFM;FAERIE GLEN MOTORS;22;430 Selikats Causeway, Faerie Glen, Pretoria, 0043.;INLAND NORTH;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
23;5CUF;45TH CONVENIENCE CENTRE;23;1134 King Cetshwayo Hwy, Sherwood, Durban, 4091.;EASTERN REGION;ENGEN - QUICKSHOP WITH WW;ENGEN - QUICKSHOP WITH WW - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
24;7FEP;NORTHCLIFF CORNER CONVENIENCE CENTR;24;Corner of Beyers Naude Drive &, Milner Ave, Northcliff, Randburg, 2195.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
25;5TCC;ETIENNE CONVENIENCE CENTRE;25;333 Durban Rd, Bellville, Cape Town, 7530.;FREESTATE;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - FREESTATE;Freestate;SOUTH AFRICA;TRUE;;;;;;;;;;;
26;6BLU;BELAPHIL MOTORS;26;176 Kingfisher Ave, Freeway Park, Boksburg, 1459.;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
27;7HAA;BONGI'S CONVENIENCE CENTRE;27;22004 Moshoeshoe St, Sebokeng Unit 14, Sebokeng, 1984.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
28;8BFL;BEACONHILL CONVENIENCE CENTRE;28;57 Hillcrest Dr, Beaconhurst, East London, 5241.;CAPE EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE EAST;Cape East;SOUTH AFRICA;TRUE;;;;;;;;;;;
29;8BDD;RANDPARKRIDGE CONVENIENCE CENTRE;29;Cnr Molope Rd & Haarkdoring Ave, Randpark Ridge, Randburg, 2169.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
30;7FEF;JET PARK SERVICE STATION;30;CNR GRIFFITH & WANKEL ROADS.JET PARK;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
31;2HLL;BOTTELARY MOTORS;31;CNR BOTTELARY ROAD & AMANDEL DRIVE KUILSRIVER .;CAPE WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE WEST;Cape West;SOUTH AFRICA;TRUE;;;;;;;;;;;
32;7NTP;LAKESIDE MOTORS;32;M57 Pretoria Rd, Birchleigh, Kempton Park, 1619.;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
33;7GJJ;NEW REDRUTH CONVENIENCE CENTRE;33;CNR RING ROAD EAST & NEW QUAY STR.NEW REDRUTH;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
34;9AAR;KEMPTON PARK CONVENIENCE CENTRE;34;CR Swart Drive &, Anjonet Ave, Kempton Park, 1619.;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
35;5DLH;PALM CONVENIENCE CENTRE;35;170 Rinaldo Rd, Glen Hills, Durban North, 4051.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
36;7BUV;VAAL 1 STOP WEST;36;N3 HIGHWAY.VILLIERS;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
